Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
133,,14.0,4.222008245644752,-79.7894160733895,6.229428732951249,3.1425053874354765,14.967514421272202,117.0,137.51785714285714,156.0
134,,10.5,3.656366395715726,-73.96953251743159,5.839750856184632,3.3640468295607455,13.449747468305832,117.0,140.92857142857142,168.0
135,,8.25,3.2410224072142872,15.062164384868945,3.97844801113931,3.213158080117186,11.63908729652601,130.0,147.54545454545453,172.0
136,,5.0,2.5231325220201604,80.32389366684335,3.5050715306984146,1.8959096931783102,7.707106781186548,142.0,150.5,158.0
137,,20.75,5.140011726956917,6.34460523446496,6.965051102006929,4.152298550314813,18.863961030678926,114.0,147.49397590361446,180.0
138,,10.75,3.6996385101659595,-62.21428870591834,3.994173360206819,3.7038944965717877,12.071067811865476,121.0,132.74418604651163,146.0
139,,33.25,6.506551687525748,-84.65077597118248,7.326307728327365,5.890605471511014,21.27817459305202,107.0,155.42105263157896,184.0
140,,25.5,5.698035485213008,49.34231094846045,6.97570101840682,4.7600755109196085,19.071067811865472,107.0,144.34313725490196,170.0
141,,29.25,6.102643417692329,29.62666611894864,6.799441219036347,5.588597756270135,19.535533905932738,89.0,156.51282051282053,215.0
142,,11.0,3.742410318509555,19.41378558762093,4.936087723132879,2.9145397787246416,11.949747468305834,117.0,150.6818181818182,175.0
143,,9.5,3.477898169151024,-12.585834689985527,5.533990688300204,2.4428968143865935,12.828427124746192,133.0,163.97368421052633,191.0
144,,32.25,6.407961869245868,76.3335086734397,7.548350851467123,5.641513805015696,21.071067811865476,124.0,155.06976744186048,181.0
145,,11.75,3.8678889139475245,19.633951147625744,5.211656925218113,3.0856593998304143,13.242640687119286,122.0,144.38297872340425,164.0
146,,5.25,2.5854414729132054,79.09932353989771,3.0673947912900177,2.2389412457342113,7.603553390593274,134.0,155.47619047619048,169.0
147,,6.75,2.9316150714175193,9.816661130248331,4.433615820829276,2.2849432608450853,10.242640687119284,139.0,159.37037037037038,172.0
148,,11.0,3.742410318509555,-10.414878269322763,4.669743429015957,3.2741954448832953,13.15685424949238,104.0,148.27272727272728,168.0
149,,13.75,4.1841419359420025,-16.646787587715945,5.673810802757128,3.3790218007418082,14.65685424949238,120.0,150.14545454545456,179.0
150,,11.25,3.7846987830302403,-85.95816912047265,5.6652688280385055,2.5607750022655367,12.621320343559642,134.0,159.3111111111111,177.0
151,,7.5,3.0901936161855166,-76.20854218276065,3.7597628839264456,2.641078220681888,9.535533905932738,116.0,136.8,148.0
152,,5.75,2.7057581899030048,51.195446635991146,2.994826120661544,2.6315691884466537,8.535533905932738,127.0,140.1304347826087,167.0
153,,6.0,2.763953195770684,-78.58614703624347,4.123855755179658,1.9757368075464485,8.414213562373096,135.0,150.875,171.0
154,,40.0,7.136496464611085,23.458299224523802,12.325939555374863,5.519097102538176,33.384776310850235,103.0,159.91875,202.0
155,,10.5,3.656366395715726,-34.34335311862004,4.324241695116588,3.3148165246582186,12.65685424949238,116.0,134.85714285714286,145.0
156,,6.25,2.8209479177387813,47.92447795903439,3.3506017182243037,2.4394811181545037,8.242640687119286,137.0,148.24,162.0
157,,7.75,3.141274657157109,-45.00001609038752,3.433325082748405,2.873684832428398,9.121320343559642,116.0,137.3548387096774,154.0
158,,13.5,4.145929793656026,-4.891373363612234,6.815873832392688,2.5953627485675703,14.724873734152915,118.0,153.12962962962962,173.0
159,,8.5,3.2897623212397704,25.993517120267896,4.3116143262260715,2.761878886096724,10.224873734152917,138.0,156.38235294117646,171.0
160,,4.0,2.256758334191025,85.45489209518523,2.539669468238746,2.1146995039711727,6.224873734152917,142.0,163.25,179.0
161,,6.0,2.763953195770684,17.1838614413598,3.497985076961969,2.322938838152181,8.82842712474619,143.0,161.33333333333334,181.0
162,,17.5,4.720348719413148,-43.10448930746417,5.653095474126856,4.1342843974228245,15.48528137423857,128.0,159.37142857142857,183.0
163,,18.25,4.820437914901168,59.7037822114346,5.325157100043333,4.490726839775594,15.535533905932738,120.0,145.31506849315068,175.0
164,,31.0,6.282549314314218,82.23637079152122,7.575212902174141,5.409636991476822,21.071067811865476,111.0,149.2983870967742,178.0
165,,6.75,2.9316150714175193,3.797323042081887,3.9058627769347574,2.189433416161564,8.707106781186548,136.0,147.88888888888889,162.0
166,,6.75,2.9316150714175193,20.786914822223427,4.341413867880998,2.3945238114212355,9.810660171779821,124.0,142.37037037037038,162.0
167,,16.75,4.61809077155419,-25.236480366875085,6.445742032526332,3.4263685647363062,15.778174593052023,118.0,156.2537313432836,185.0
168,,17.75,4.753945931439391,20.868158171396946,6.480944419956584,3.693061119072186,17.192388155425117,121.0,152.61971830985917,192.0
169,,6.5,2.876813695875796,83.35233427452876,3.4784375853256018,2.537505370133379,9.017766952966369,126.0,131.42307692307693,137.0
170,,23.0,5.4115163798060095,-1.5705397877685336,7.164878950847564,4.739185398329477,19.949747468305834,119.0,150.57608695652175,184.0
171,,15.0,4.370193722368317,77.91468193642284,5.141836510082743,3.858664935098394,14.121320343559644,119.0,147.11666666666667,172.0
172,,19.5,4.982787485166879,39.81779543193423,8.630621929378382,3.815114697472151,22.071067811865472,128.0,149.16666666666666,184.0
173,,6.75,2.9316150714175193,3.0058696694088303,4.0868746421326,2.1570203676893236,9.121320343559642,136.0,169.5185185185185,199.0
174,,41.5,7.269074295019226,-46.1939380079347,8.080582830965467,6.753064213978208,23.899494936611664,107.0,145.80722891566265,174.0
175,,9.75,3.523362819972964,-70.55172834729468,5.308256974529027,2.6286594234365523,12.431980515339463,135.0,162.07692307692307,184.0
176,,14.0,4.222008245644752,74.1647404779108,5.098493405114029,3.53304483616261,13.242640687119286,97.0,149.94642857142858,196.0
177,,26.25,5.781222885281108,24.88770356109534,6.492042497272904,5.370867591062246,18.949747468305834,103.0,154.6095238095238,188.0
178,,4.0,2.256758334191025,32.84245606887894,3.183748004880696,1.6311418213687578,6.82842712474619,133.0,143.875,152.0
179,,5.75,2.7057581899030048,-89.90821230288367,3.7035753482378913,2.0687554040021503,8.535533905932738,126.0,153.91304347826087,177.0
180,,26.0,5.753627391751592,-64.08111737555748,7.522997074852326,5.135868782188464,22.571067811865476,101.0,160.32692307692307,197.0
181,,12.75,4.029119531035698,29.540843293077,5.836669080480485,2.8490471242041275,13.363961030678928,123.0,153.01960784313727,174.0
182,,13.0,4.068428945128219,-84.03192994675415,5.261703447253787,3.4486053992913583,13.863961030678926,130.0,152.23076923076923,176.0
183,,74.25,9.72306722164286,30.51309031190917,13.01188669661452,7.472178694159597,35.72792206135785,79.0,189.41077441077442,235.0
184,,7.25,3.0382538898732494,-44.355207821600295,3.780677977733989,2.5025895406911305,9.431980515339465,125.0,144.68965517241378,157.0
185,,5.0,2.5231325220201604,16.169301437882197,3.3279715074688703,1.9454062931622729,7.414213562373095,139.0,148.5,158.0
186,,5.5,2.6462837142006137,-77.44261024762024,3.279983288401781,2.081494347509531,7.414213562373095,112.0,142.54545454545453,155.0
187,,6.0,2.763953195770684,90.00003218077504,3.415650255319866,2.23606797749979,8.0,147.0,167.66666666666666,186.0
188,,22.5,5.352372348458314,65.60000187600156,8.913880532890758,3.453538964050552,22.088834764831844,117.0,141.04444444444445,163.0
189,,22.75,5.382025607773058,-27.391241808385566,7.859903852445483,3.886936815949619,20.02081528017131,114.0,138.84615384615384,154.0
190,,7.25,3.0382538898732494,-59.437742950913496,3.5548550686432847,2.864412745318457,10.15685424949238,129.0,184.79310344827587,228.0
191,,18.0,4.787307364817192,-70.03961397451063,6.476609504954575,3.819658983787796,16.931980515339465,116.0,138.51388888888889,150.0
192,,6.5,2.876813695875796,90.00003218077504,3.2933499428627147,2.5279502654084594,8.414213562373096,138.0,163.69230769230768,190.0
193,,6.5,2.876813695875796,40.264009212887494,3.9920450668198653,2.1048610618766777,8.949747468305832,135.0,147.57692307692307,157.0
